id,name,location_id,latitude,longitude
900009,Ardenno Masino,321,46.16198,9.651374
900010,Arena Po,325,45.082065,9.360394
900011,Asola,390,45.220454,10.402313
900012,Corbetta S. Stefano,6928,45.480829,8.917457
900013,Cosio Traona,7703,46.135564,9.525498
900014,Gazzada Schianno Morazzone,3116,45.77862,8.824815
900015,Gazzo Di Bigarello,1680,45.176648,10.894005
900016,Ghedi,3195,45.409439,10.280506
900017,Castel D`Ario,1638,45.183399,10.97531
900018,Castelleone,1727,45.301826,9.76779
900019,Castellucchio,1759,45.144293,10.64749
900020,Castione Andevenno,1851,46.161659,9.806151
900021,Castronno,1868,45.74524,8.810302
900022,Cava Carbonara,1399,45.147055,9.071387
900023,Cava Tigozzi,7330,45.156823,9.955827
900024,Cavaria Oggiona Jerago,1907,45.698145,8.8035
900025,Cernusco-Merate,2013,45.695096,9.396794
900026,Certosa Di Pavia,2032,45.256927,9.154456
900027,Bressana Argine,962,45.072739,9.137038
900028,Bressana Bottarone,962,45.086298,9.110602
900029,Broni,992,45.066263,9.258751
900030,Chiari,2096,45.54011,9.926474
900031,Chiavenna,2100,46.321258,9.407129
900032,Chignolo Po,2112,45.160942,9.494196
900033,Chiuduno,2118,45.650449,9.846924
900034,Chiuro,2120,46.164658,9.992317
900035,Cisano Caprino Bergamasco,2179,45.739606,9.474261
900036,Civate,2198,45.831295,9.352877
900037,Coccaglio,2237,45.560971,9.977648
900038,Codogno,2245,45.154897,9.701376
900039,Colico,2259,46.138019,9.375222
900040,Borgoforte,4687,45.050328,10.752388
900041,Borgolombardo,6478,45.403856,9.27111
900042,Bozzolo,917,45.107246,10.472655
900043,Brenna-Alzate,938,45.754044,9.183312
900044,Brescia,946,45.532315,10.212828
900045,Candia Lomellina,1280,45.179911,8.593156
900046,Canneto Sull`Oglio,1299,45.150211,10.37147
900047,Cantu`- Cermenate,1427,45.716236,9.099284
900048,Capralba,1358,45.443871,9.640015
900049,Caravaggio,1394,45.491158,9.637723
900050,Carimate,1427,45.697094,9.107188
900051,Carnate Usmate,1444,45.653072,9.375089
900052,Casalbuttano,1501,45.255398,9.962361
900053,Casaletto Vaprio,1519,45.408641,9.631746
900054,Casalmaggiore,1526,44.993139,10.425023
900055,Casalpusterlengo,1534,45.182473,9.653627
900056,Casletto-Rogeno,6130,45.786028,9.275375
900057,Casorate Sempione,1591,45.675075,8.743954
900058,Cassago-Nibionno-Bulciago,1035,45.746243,9.279834
