id,train_id,origin_station_id,destination_station_id,departure_time,arrival_time,price,changes,available_seats,created_at
2000001,1000001,900009,900129,2026-01-09 06:15:00,2026-01-09 06:40:00,13,0,0,2026-03-30 09:00:00
2000002,1000002,900009,900304,2026-01-10 07:05:00,2026-01-10 07:30:00,14,0,19,2026-03-30 09:00:00
2000003,1000003,900010,900126,2026-01-11 08:10:00,2026-01-11 08:35:00,13,0,26,2026-03-30 09:00:00
2000004,1000004,900010,901140,2026-01-09 09:25:00,2026-01-09 09:50:00,13,0,33,2026-03-30 09:00:00
2000005,1000005,900011,900092,2026-01-10 10:40:00,2026-01-10 11:05:00,13,0,40,2026-03-30 09:00:00
2000006,1000006,900011,900091,2026-01-11 12:05:00,2026-01-11 12:30:00,13,0,47,2026-03-30 09:00:00
2000007,1000007,900012,900310,2026-01-09 14:15:00,2026-01-09 14:40:00,13,0,54,2026-03-30 09:00:00
2000008,1000008,900012,900262,2026-01-10 16:20:00,2026-01-10 16:45:00,13,0,61,2026-03-30 09:00:00
2000009,1000009,900013,900176,2026-01-11 18:35:00,2026-01-11 19:00:00,13,0,68,2026-03-30 09:00:00
2000010,1000010,900013,900079,2026-01-09 20:10:00,2026-01-09 20:35:00,13,0,12,2026-03-30 09:00:00
2000011,1000011,900014,900021,2026-01-10 06:15:00,2026-01-10 06:40:00,13,0,19,2026-03-30 09:00:00
2000012,1000012,900014,900224,2026-01-11 07:05:00,2026-01-11 07:30:00,13,0,26,2026-03-30 09:00:00
2000013,1000013,900015,900191,2026-01-09 08:10:00,2026-01-09 08:35:00,13,0,33,2026-03-30 09:00:00
2000014,1000014,900015,900017,2026-01-10 09:25:00,2026-01-10 09:50:00,13,0,40,2026-03-30 09:00:00
2000015,1000015,900016,900229,2026-01-11 10:40:00,2026-01-11 11:05:00,13,0,47,2026-03-30 09:00:00
2000016,1000016,900016,900076,2026-01-09 12:05:00,2026-01-09 12:30:00,13,0,54,2026-03-30 09:00:00
2000017,1000017,900017,901497,2026-01-10 14:15:00,2026-01-10 14:40:00,13,0,61,2026-03-30 09:00:00
2000018,1000018,900017,900015,2026-01-11 16:20:00,2026-01-11 16:45:00,13,0,68,2026-03-30 09:00:00
2000019,1000019,900018,900312,2026-01-09 18:35:00,2026-01-09 19:00:00,13,0,12,2026-03-30 09:00:00
2000020,1000020,900018,900125,2026-01-10 20:10:00,2026-01-10 20:35:00,14,0,19,2026-03-30 09:00:00
2000021,1000021,900019,900157,2026-01-11 06:15:00,2026-01-11 06:40:00,13,0,26,2026-03-30 09:00:00
2000022,1000022,900019,900208,2026-01-09 07:05:00,2026-01-09 07:30:00,13,0,33,2026-03-30 09:00:00
2000023,1000023,900020,900304,2026-01-10 08:10:00,2026-01-10 08:35:00,13,0,40,2026-03-30 09:00:00
2000024,1000024,900020,900124,2026-01-11 09:25:00,2026-01-11 09:50:00,13,0,47,2026-03-30 09:00:00
2000025,1000025,900021,900067,2026-01-09 10:40:00,2026-01-09 11:05:00,13,0,54,2026-03-30 09:00:00
2000026,1000026,900021,900014,2026-01-10 12:05:00,2026-01-10 12:30:00,13,0,61,2026-03-30 09:00:00
2000027,1000027,900022,900287,2026-01-11 14:15:00,2026-01-11 14:40:00,12,0,68,2026-03-30 09:00:00
2000028,1000028,900022,900306,2026-01-09 16:20:00,2026-01-09 16:45:00,13,0,12,2026-03-30 09:00:00
2000029,1000029,900023,900144,2026-01-10 18:35:00,2026-01-10 19:00:00,13,0,19,2026-03-30 09:00:00
2000030,1000030,900023,900063,2026-01-11 20:10:00,2026-01-11 20:35:00,13,0,26,2026-03-30 09:00:00
2000031,1000031,900024,900067,2026-01-09 06:15:00,2026-01-09 06:40:00,13,0,33,2026-03-30 09:00:00
2000032,1000032,900024,900187,2026-01-10 07:05:00,2026-01-10 07:30:00,13,0,40,2026-03-30 09:00:00
