id,name,street,stars,latitude,longitude,imageUrl,locationId
1,Residenza Adelaide,"Via Domenico Brunenghi, 87",3,44.1703744,8.338467,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2817
2,Lord Nelson,"Corso Valparaiso, 27",3,44.3174262,9.3149515,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2099
3,Hotel Monterosso Alto,,3,44.163025,9.6489999,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4562
4,Hermitage,"Via Roma, 152",3,44.0406488,8.1233132,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,8292
5,Al Saraceno,"Via del Capo, 2",5,44.181986,8.4015397,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4815
6,Trattoria Locanda Piemontese,"Piazza Massa, 4",3,44.2046279,8.2947483,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,1143
7,Agriturismo La Selva,,2,44.1808892,8.3778479,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2817
8,La volpe e il gatto,"Località Isolabuona, 32",3,44.5990403,8.9523236,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,6242
9,Ristorante Tomasi,"Via Relama, 61",3,44.5566382,9.3086111,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,6288
10,Hotel Onda Azzura,,1,44.3297326,8.5123336,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,129
11,Blue Fish,"Corso Filippo Ferrari, 152",2,44.3308822,8.515156,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,129
12,Gianni Franzi,"Piazza Guglielmo Marconi, 1",3,44.1347912,9.6826889,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,8114
13,Giordana,,3,44.1233399,8.2557561,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,3704
14,Pippo da Ugo,"Via della Chiesa, 159",2,44.4399979,9.1713919,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,4763
15,La Nuvola sul Mare,"Via Faiallo, 25",2,44.4598749,8.6664369,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,7867
16,Agriturismo Valdolivo,"Località Capuà, 3",2,44.4013491,8.6315133,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2251
17,La Pineta,"Via Torino, 1",3,44.0101408,7.9516464,https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1200&auto=format&fit=crop,2063
