name,street,stars,latitude,longitude,imageUrl,locationId
U Baussu,Via Nazionale 40,0,43.8696619,7.5544105,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,88
Al mare,Via don Giovanni Boselli 24,3,44.000658,8.1678267,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Badano,Alassio,0,44.0096619,8.1765908,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Beau Sejour,Via Garibaldi 102,0,44.0135234,8.1810736,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Belsit,Via don Giovanni Boselli 28,3,44.0004974,8.1679373,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Diana,Via Garibaldi,0,44.0138706,8.1815286,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Edda Apartment,Via Leonardo da Vinci,3,44.0026965,8.1671498,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Eden,Passeggiata Cadorna,3,44.0122253,8.1795237,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Europa e Concordia,Alassio,0,44.0084143,8.1744936,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Gandolfo,Alassio,3,44.0127118,8.1801126,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Grand Hotel d'Alassio,Alassio,5,44.0091491,8.1758541,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Grand Hotel Mediteranée,Alassio,0,43.9990867,8.1665196,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Grand Hotel Spiaggia,Alassio,0,43.9981672,8.1656085,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Hotel Anita,Via Leonardo da Vinci 220,0,43.9992113,8.1649178,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Hotel Beau Rivage,Via Roma 82,3,43.9978527,8.1656247,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Hotel Corso,Via Armando Diaz 28,3,44.0024875,8.1673379,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
Hotel Enrico,Alassio,0,44.0081322,8.1740483,https://rpcgfwithmoyezrdeahj.supabase.co/storage/v1/object/public/hotels/hotel.avif,97
